@RELATION pacmanInformation
@ATTRIBUTE PacPosX NUMERIC
@ATTRIBUTE PacPosY NUMERIC
@ATTRIBUTE ActN {North, None}
@ATTRIBUTE ActSo {South, None}
@ATTRIBUTE ActE {East, None}
@ATTRIBUTE ActW {West, None}
@ATTRIBUTE ActS {Stop, None}
@ATTRIBUTE NumAgents NUMERIC
@ATTRIBUTE G1PosX NUMERIC
@ATTRIBUTE G1PosY NUMERIC
@ATTRIBUTE G2PosX NUMERIC
@ATTRIBUTE G2PosY NUMERIC
@ATTRIBUTE G3PosX NUMERIC
@ATTRIBUTE G3PosY NUMERIC
@ATTRIBUTE G4PosX NUMERIC
@ATTRIBUTE G4PosY NUMERIC
@ATTRIBUTE DistG1 NUMERIC
@ATTRIBUTE DistG2 NUMERIC
@ATTRIBUTE DistG3 NUMERIC
@ATTRIBUTE DistG4 NUMERIC
@ATTRIBUTE NumDots NUMERIC
@ATTRIBUTE DistDot NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE PacDir {North, South, East, West, Stop, None}
@DATA
9,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,8,5,6,17,95,1,0,99,Stop
10,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,9,6,5,16,94,1,99,198,East
11,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,10,7,4,15,93,1,198,297,East
12,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,11,8,5,14,92,1,297,396,East
13,1,North,None,None,West,Stop,4,3,3,8,5,11,5,18,9,12,9,6,13,91,1,396,495,East
13,2,North,South,None,None,Stop,4,3,3,8,5,11,5,18,9,11,8,5,12,90,1,495,594,North
13,3,North,South,East,West,Stop,4,3,3,8,5,11,5,18,9,10,7,4,11,89,1,594,693,North
13,4,North,South,None,None,Stop,4,3,3,8,5,11,5,18,9,11,6,3,10,88,1,693,792,North
13,5,North,South,East,None,Stop,4,3,3,8,5,11,5,18,9,12,5,2,9,87,1,792,891,North
13,6,North,South,None,None,Stop,4,3,3,8,5,11,5,18,9,13,6,3,8,86,1,891,990,North
